eta_ratio,eta_max,eta_min,gamma_factor,gamma,iterations
0.0001,1.12339,0.000112339,0.01,0.0112339,250826
0.0001,1.12339,0.000112339,0.02,0.0224677,192841
0.0001,1.12339,0.000112339,0.05,0.0561693,111266
0.0001,1.12339,0.000112339,0.1,0.112339,5342
0.0001,1.12339,0.000112339,0.2,0.224677,4550
0.0001,1.12339,0.000112339,0.5,0.561693,4225
0.0001,1.12339,0.000112339,1,1.12339,4663
0.0001,1.12339,0.000112339,2,2.24677,5421
0.0001,1.12339,0.000112339,5,5.61693,7458
0.0001,1.12339,0.000112339,10,11.2339,9540
0.001,1.12324,0.00112324,0.01,0.0112324,206251
0.001,1.12324,0.00112324,0.02,0.0224648,500000
0.001,1.12324,0.00112324,0.05,0.056162,32444
0.001,1.12324,0.00112324,0.1,0.112324,5484
0.001,1.12324,0.00112324,0.2,0.224648,4474
0.001,1.12324,0.00112324,0.5,0.56162,3535
0.001,1.12324,0.00112324,1,1.12324,3035
0.001,1.12324,0.00112324,2,2.24648,3019
0.001,1.12324,0.00112324,5,5.6162,3711
0.001,1.12324,0.00112324,10,11.2324,4517
0.01,1.12179,0.0112179,0.01,0.0112179,314992
0.01,1.12179,0.0112179,0.02,0.0224357,20358
0.01,1.12179,0.0112179,0.05,0.0560893,6116
0.01,1.12179,0.0112179,0.1,0.112179,5170
0.01,1.12179,0.0112179,0.2,0.224357,4270
0.01,1.12179,0.0112179,0.5,0.560893,3553
0.01,1.12179,0.0112179,1,1.12179,3102
0.01,1.12179,0.0112179,2,2.24357,2672
0.01,1.12179,0.0112179,5,5.60893,2400
0.01,1.12179,0.0112179,10,11.2179,2632
0.1,1.10744,0.110744,0.01,0.0110744,6704
0.1,1.10744,0.110744,0.02,0.0221488,5879
0.1,1.10744,0.110744,0.05,0.055372,5185
0.1,1.10744,0.110744,0.1,0.110744,4825
0.1,1.10744,0.110744,0.2,0.221488,4341
0.1,1.10744,0.110744,0.5,0.55372,3470
0.1,1.10744,0.110744,1,1.10744,3196
0.1,1.10744,0.110744,2,2.21488,2645
0.1,1.10744,0.110744,5,5.5372,2374
0.1,1.10744,0.110744,10,11.0744,2705
1,1,1,0.01,0.01,4116
1,1,1,0.02,0.02,3873
1,1,1,0.05,0.05,3940
1,1,1,0.1,0.1,3807
1,1,1,0.2,0.2,3636
1,1,1,0.5,0.5,4175
1,1,1,1,1,3055
1,1,1,2,2,2376
1,1,1,5,5,2156
1,1,1,10,10,2263
10,5.54308,0.554308,0.01,0.0554308,11274
10,5.54308,0.554308,0.02,0.110862,9466
10,5.54308,0.554308,0.05,0.277154,7235
10,5.54308,0.554308,0.1,0.554308,5438
10,5.54308,0.554308,0.2,1.10862,4447
10,5.54308,0.554308,0.5,2.77154,3699
10,5.54308,0.554308,1,5.54308,3576
10,5.54308,0.554308,2,11.0862,2946
10,5.54308,0.554308,5,27.7154,4279
10,5.54308,0.554308,10,55.4308,5381
100,9.97094,0.0997094,0.01,0.0997094,19582
100,9.97094,0.0997094,0.02,0.199419,16989
100,9.97094,0.0997094,0.05,0.498547,11956
100,9.97094,0.0997094,0.1,0.997094,9983
100,9.97094,0.0997094,0.2,1.99419,8007
100,9.97094,0.0997094,0.5,4.98547,7123
100,9.97094,0.0997094,1,9.97094,7254
100,9.97094,0.0997094,2,19.9419,8674
100,9.97094,0.0997094,5,49.8547,11208
100,9.97094,0.0997094,10,99.7094,15911
1000,10.8366,0.0108366,0.01,0.108366,31374
1000,10.8366,0.0108366,0.02,0.216731,25644
1000,10.8366,0.0108366,0.05,0.541829,21640
1000,10.8366,0.0108366,0.1,1.08366,17543
1000,10.8366,0.0108366,0.2,2.16731,15728
1000,10.8366,0.0108366,0.5,5.41829,16411
1000,10.8366,0.0108366,1,10.8366,18154
1000,10.8366,0.0108366,2,21.6731,25582
1000,10.8366,0.0108366,5,54.1829,33661
1000,10.8366,0.0108366,10,108.366,47991
10000,10.9315,0.00109315,0.01,0.109315,53837
10000,10.9315,0.00109315,0.02,0.218629,50928
10000,10.9315,0.00109315,0.05,0.546574,43824
10000,10.9315,0.00109315,0.1,1.09315,40356
10000,10.9315,0.00109315,0.2,2.18629,40008
10000,10.9315,0.00109315,0.5,5.46574,46986
10000,10.9315,0.00109315,1,10.9315,55884
10000,10.9315,0.00109315,2,21.8629,66417
10000,10.9315,0.00109315,5,54.6574,81051
10000,10.9315,0.00109315,10,109.315,101268
100000,10.9411,0.000109411,0.01,0.109411,112789
100000,10.9411,0.000109411,0.02,0.218821,114404
100000,10.9411,0.000109411,0.05,0.547053,97513
100000,10.9411,0.000109411,0.1,1.09411,101566
100000,10.9411,0.000109411,0.2,2.18821,105291
100000,10.9411,0.000109411,0.5,5.47053,100949
100000,10.9411,0.000109411,1,10.9411,115650
100000,10.9411,0.000109411,2,21.8821,120736
100000,10.9411,0.000109411,5,54.7053,136857
100000,10.9411,0.000109411,10,109.411,159067
1e+06,10.942,1.0942e-05,0.01,0.10942,247130
1e+06,10.942,1.0942e-05,0.02,0.21884,273376
1e+06,10.942,1.0942e-05,0.05,0.547101,235578
1e+06,10.942,1.0942e-05,0.1,1.0942,236776
1e+06,10.942,1.0942e-05,0.2,2.1884,201242
1e+06,10.942,1.0942e-05,0.5,5.47101,181430
1e+06,10.942,1.0942e-05,1,10.942,155488
1e+06,10.942,1.0942e-05,2,21.884,192221
1e+06,10.942,1.0942e-05,5,54.7101,192228
1e+06,10.942,1.0942e-05,10,109.42,218022
