eta_ratio, gamma_factor,iterations,eta_max,eta_min
0.000100,0.010000,500000,1.1233904710975200,5.85986665166509E-05
0.000100,0.020000,139818,1.1233904710975200,5.85986665166509E-05
0.000100,0.050000,30413,1.1233904710975200,5.85986665166509E-05
0.000100,0.100000,5424,1.1233904710975200,5.85986665166509E-05
0.000100,0.200000,4369,1.1233904710975200,5.85986665166509E-05
0.000100,0.500000,4101,1.1233904710975200,5.85986665166509E-05
0.000100,1.000000,4196,1.1233904710975200,5.85986665166509E-05
0.000100,2.000000,5233,1.1233904710975200,5.85986665166509E-05
0.000100,5.000000,6723,1.1233904710975200,5.85986665166509E-05
0.000100,10.000000,8357,1.1233904710975200,5.85986665166509E-05
0.001000,0.010000,500000,1.123286679477600,0.0005859325250373210
0.001000,0.020000,237177,1.123286679477600,0.0005859325250373210
0.001000,0.050000,13313,1.123286679477600,0.0005859325250373210
0.001000,0.100000,5254,1.123286679477600,0.0005859325250373210
0.001000,0.200000,4443,1.123286679477600,0.0005859325250373210
0.001000,0.500000,3465,1.123286679477600,0.0005859325250373210
0.001000,1.000000,2985,1.123286679477600,0.0005859325250373210
0.001000,2.000000,2726,1.123286679477600,0.0005859325250373210
0.001000,5.000000,3638,1.123286679477600,0.0005859325250373210
0.001000,10.000000,4192,1.123286679477600,0.0005859325250373210
0.010000,0.010000,75169,1.1222498171444900,0.005853916734666130
0.010000,0.020000,500000,1.1222498171444900,0.005853916734666130
0.010000,0.050000,6462,1.1222498171444900,0.005853916734666130
0.010000,0.100000,5044,1.1222498171444900,0.005853916734666130
0.010000,0.200000,4473,1.1222498171444900,0.005853916734666130
0.010000,0.500000,3563,1.1222498171444900,0.005853916734666130
0.010000,1.000000,2945,1.1222498171444900,0.005853916734666130
0.010000,2.000000,2387,1.1222498171444900,0.005853916734666130
0.010000,5.000000,2232,1.1222498171444900,0.005853916734666130
0.010000,10.000000,2352,1.1222498171444900,0.005853916734666130
